,name,gender_x,inhouse_x,headline,urls,description,gender_y,inhouse_y,np_category,np_headline,likes
6,池内恵,1.0,,東京大学先端科学技術研究センター　教授,https://www.nikkei.com/topics/topic_expert_EVP01046,中東情勢を理解し、日本に伝えてきた第一人者。日本貿易振興機構アジア経済研究所研究員、国際日本文化研究センター准教授を経て、2008年10月より東京大学先端科学技術研究センター准教授、2018年10月より現職。著書に『現代アラブの社会思想』(大佛次郎論壇賞)、『書物の運命』(毎日書評賞)、『イスラーム世界の論じ方』(サントリー学芸賞)、『イスラーム国の衝撃』(毎日出版文化賞特別賞)など多数。東大先端研内のシンクタンク「ROLES」でも発信中。Peatix：https://gsr-rcast.peatix.com/Twitter：https://twitter.com/rcastletsrole【注目するニュース分野】グローバルセキュリティ・イスラム政治思想,1.0,,国際,東京大学 先端科学技術研究センター教授（グローバルセキュリティ・宗教分野）,23595.0
18,蛯原健,1.0,,リブライトパートナーズ　代表パートナー,https://www.nikkei.com/topics/topic_expert_EVP01075,アジア地域に特化した独立系ベンチャーキャピタル、リブライト パートナーズを2008年に創業、 シンガポールとインド・バンガロールおよび東京の3拠点体制で運営。 日本証券アナリスト協会 認定アナリスト（CMA）【注目するニュース分野】テクノロジー、スタートアップ、グローバル,1.0,,テクノロジー,リブライトパートナーズ 代表パートナー,167739.0
20,大槻奈那,2.0,,マネックス証券　専門役員チーフアナリスト,https://www.nikkei.com/topics/topic_expert_EVP01007,スタンダード&プアーズ、UBS、メリルリンチなどの金融機関でリサーチ業務に従事、各種メディアのアナリスト・ランキングで高評価を得てきた。2016年1月より現職。国内外の金融市場や海外の株式市場等を分析する。名古屋商科大学大学院教授なども兼務。【注目するニュース分野】株式、金融,2.0,,マネー,マネックス証券 執行役員 /名古屋商科大学大学院 教授,21667.0
40,鈴木一人,1.0,,東京大学　公共政策大学院 教授,https://www.nikkei.com/topics/topic_expert_EVP01017,2000年、英国サセックス大学ヨーロッパ研究所博士課程修了。筑波大学専任講師・准教授、北海道大学教授を経て、2020年から現職。2013−15年に国連安保理イラン制裁専門家パネル委員。内閣府宇宙政策委員会宇宙安全保障部会委員、日本安全保障貿易学会会長、国際宇宙アカデミー正会員。主著に『宇宙開発と国際政治』（岩波書店）など。【注目するニュース分野】国際政治、科学技術政策、宇宙政策,1.0,,国際,東京大学 公共政策大学院教授,27800.0
49,竹内薫,1.0,,サイエンスライター,https://www.nikkei.com/topics/topic_expert_EVP01058,量子理論をはじめ科学の最先端を解きほぐすナビゲーター。東京大学教養学部教養学科、同理学部物理学科卒業。カナダ・マギル大博士（高エネルギー物理学専攻）。主な著書に『ペンローズのねじれた四次元』『９９．９％は仮説』。子供の生きる力を伸ばす「ＹＥＳ　Ｉｎｔｅｒｎａｔｉｏｎａｌ　Ｓｃｈｏｏｌ」の校長も務める。【注目するニュース分野】科学技術、教育,1.0,,ヘルスケア,サイエンス作家,3305.0
50,竹内純子,2.0,,国際環境経済研究所　理事・主席研究員,https://www.nikkei.com/topics/topic_expert_EVP01022,1994年東京電力入社、主に環境部門を経験。2012年独立。環境・エネルギー政策の研究を続ける傍ら、エネルギー転換の原動力となるスタートアップを支援するため、2018年U3イノベーションズLLP創設。政府委員も多数務め、著書に「エネルギー産業の2050年　Utility3.0へのゲームチェンジ」（日本経済新聞出版社）など。【注目するニュース分野】エネルギー、政策,2.0,,社会,国際環境経済研究所 理事・主席研究員,36211.0
60,中西孝樹,1.0,,ナカニシ自動車産業リサーチ　代表アナリスト,https://www.nikkei.com/topics/topic_expert_EVP01063,山一證券、メリルリンチ証券を経て、ＪＰモルガン証券、アライアンス・バーンスタインなどで一貫して自動車産業調査に従事。2013年に独立し、ナカニシ自動車産業リサーチを設立。日経ヴェリタス人気アナリストランキングの自動車・自動車部品部門で2004年から2009年まで6年連続1位。【注目するニュース分野】自動車,1.0,,ビジネス,ナカニシ自動車産業リサーチ 代表,25049.0
81,村上臣,1.0,,リンクトイン日本代表,https://www.nikkei.com/topics/topic_expert_EVP01039,2000年8月、ヤフー株式会社入社。2011年に一度退職した後、再び2012年4月からヤフーの執行役員兼CMOとして、モバイル事業の企画戦略を担当。2017年11月に6億9000万人が利用するビジネス特化型ネットワークのリンクトイン（LinkedIn）日本代表に就任。複数のスタートアップの戦略・技術顧問も務める。【注目するニュース分野】キャリア、テクノロジー,1.0,,キャリア,リンクトイン（LinkedIn） 日本代表,15398.0
86,山崎俊彦,1.0,,東京大学　大学院情報理工学系研究科 准教授,https://www.nikkei.com/topics/topic_expert_EVP01042,東京大学大学院工学系研究科電子工学専攻修了。博士（工学）。2011～2013年、米国・コーネル大学 Visiting Scientist。マルチメディア処理、パターン認識、画像認識、機械学習、最適化などの研究を行っている。【注目するニュース分野】AI、AI教育、マルチメディア,1.0,,テクノロジー,東京大学 大学院情報理工学系研究科電子情報学専攻　准教授,94902.0
